name	x	y	z	size	group	type
A1	1.812468	-24.781258	109.838457	n/a		n/a
A2	2.543505	-40.646723	109.467419	n/a		n/a
A3	1.077961	-53.426438	104.534976	n/a		n/a
A4	0.478310	-64.007977	97.782992	n/a		n/a
A5	1.259397	-75.655488	91.198997	n/a		n/a
A6	-1.864734	-85.845594	81.642348	n/a		n/a
A7	-21.278405	-82.171152	82.034153	n/a		n/a
A8	-23.138126	-91.381574	70.230930	n/a		n/a
A9	-20.792311	-100.093553	58.633050	n/a		n/a
A10	-22.517910	-103.945253	45.420750	n/a		n/a
A11	-23.746402	-109.239818	30.638447	n/a		n/a
A12	-22.612737	-112.175950	16.192898	n/a		n/a
A13	-21.093613	-114.696422	2.031703	n/a		n/a
A14	-21.455565	-113.739273	-10.952514	n/a		n/a
A15	-19.750376	-111.144881	-23.116811	n/a		n/a
A16	-1.262482	-113.437468	-23.360036	n/a		n/a
A17	-2.126853	-115.963904	-9.402207	n/a		n/a
A18	-2.582535	-117.051368	3.358235	n/a		n/a
A19	-1.550448	-115.135940	19.123323	n/a		n/a
A20	-3.974027	-113.031005	32.835623	n/a		n/a
A21	-1.550604	-108.178126	45.287132	n/a		n/a
A22	-3.083650	-101.441153	59.094022	n/a		n/a
A23	-3.476316	-95.689736	70.178590	n/a		n/a
A24	16.758948	-84.493380	82.966433	n/a		n/a
A25	17.934887	-94.693840	70.924209	n/a		n/a
A26	16.418066	-101.115990	60.372113	n/a		n/a
A27	16.753230	-107.311858	45.652515	n/a		n/a
A28	15.878362	-113.028004	31.216632	n/a		n/a
A29	17.011343	-115.534141	17.240494	n/a		n/a
A30	15.607101	-116.463258	2.779714	n/a		n/a
A31	16.791266	-115.624117	-10.339199	n/a		n/a
A32	16.650917	-112.530273	-23.563078	n/a		n/a
B1	18.404175	-47.713330	104.821902	n/a		n/a
B2	18.659026	-61.966471	99.321077	n/a		n/a
B3	33.880825	-67.168152	93.817375	n/a		n/a
B4	33.718945	-78.540146	84.301750	n/a		n/a
B5	36.875215	-87.160757	73.231849	n/a		n/a
B6	35.005862	-97.871575	60.059408	n/a		n/a
B7	38.199141	-103.344681	46.506200	n/a		n/a
B8	35.980487	-109.568941	32.073672	n/a		n/a
B9	36.660527	-111.610214	16.728952	n/a		n/a
B10	36.247862	-113.173619	2.538093	n/a		n/a
B11	33.500914	-111.123769	-10.671382	n/a		n/a
B12	31.622807	-109.240606	-24.019515	n/a		n/a
B13	53.826074	-98.400104	-12.757474	n/a		n/a
B14	52.836556	-102.573527	1.736831	n/a		n/a
B15	54.419298	-102.292707	15.852303	n/a		n/a
B16	51.895717	-101.157346	29.093369	n/a		n/a
B17	54.238398	-95.042406	44.436440	n/a		n/a
B18	51.192817	-88.819028	59.991304	n/a		n/a
B19	53.941877	-76.378161	72.801129	n/a		n/a
B20	46.508646	-70.416287	86.031946	n/a		n/a
B21	34.270330	-53.109985	100.521544	n/a		n/a
B22	49.410242	-58.375992	91.796706	n/a		n/a
B23	61.875555	-59.359981	82.258216	n/a		n/a
B24	68.131168	-64.188598	68.586194	n/a		n/a
B25	62.777311	-79.531915	57.138983	n/a		n/a
B26	68.452506	-81.000918	43.727761	n/a		n/a
B27	64.716326	-90.228636	29.949898	n/a		n/a
B28	66.090102	-90.948928	15.107818	n/a		n/a
B29	64.453374	-90.305271	0.301118	n/a		n/a
B30	65.019526	-87.938996	-14.821260	n/a		n/a
B31	73.600238	-75.826471	-15.149327	n/a		n/a
B32	74.712791	-79.976126	-1.004846	n/a		n/a
C1	15.307108	-29.287549	104.488355	n/a		n/a
C2	30.609594	-34.155056	101.527775	n/a		n/a
C3	43.612486	-40.090654	96.980446	n/a		n/a
C4	56.457172	-44.692358	89.119844	n/a		n/a
C5	67.093116	-45.032752	80.581776	n/a		n/a
C6	76.595694	-47.197453	68.672075	n/a		n/a
C7	80.642524	-51.602079	55.563017	n/a		n/a
C8	73.013547	-64.994441	57.403535	n/a		n/a
C9	78.316270	-67.916522	43.355849	n/a		n/a
C10	75.668161	-78.887140	28.110778	n/a		n/a
C11	74.993924	-78.399263	14.276125	n/a		n/a
C12	80.968136	-64.696532	-1.370692	n/a		n/a
C13	83.000654	-63.435229	11.456187	n/a		n/a
C14	81.476536	-63.696613	26.378838	n/a		n/a
C15	83.098087	-53.219950	43.259565	n/a		n/a
C16	86.473450	-49.158530	27.360996	n/a		n/a
C17	89.446103	-48.128017	13.461317	n/a		n/a
C18	91.836861	-28.968177	14.117919	n/a		n/a
